LSOA11CD,ARSON AND CRIMINAL DAMAGE,BURGLARY,DRUG OFFENCES,MISCELLANEOUS CRIMES AGAINST SOCIETY,POSSESSION OF WEAPONS,PUBLIC ORDER OFFENCES,ROBBERY,THEFT,VEHICLE OFFENCES,VIOLENCE AGAINST THE PERSON,total_crime,centroid_lon,centroid_lat
E01000006,0.5,0.6,0.6,0.3,0.3,0.9,0.3,0.8,0.9,0.6,5.8,544934.3676986005,184297.55082968483
E01000007,0.5,0.8,0.6,0.3,0.3,1.1,0.6,1.3,1.1,0.8,7.3999999999999995,544139.8582144114,184436.86676718717
E01000008,0.6,0.8,0.6,0.3,0.3,1.1,0.6,1.1,0.9,0.6,6.9,543630.59338515,184386.65802625963
E01000009,0.5,0.8,0.6,0.3,0.3,0.9,0.6,1.3,1.1,0.8,7.2,544601.1377164836,184458.06160837392
E01000011,0.6,0.8,0.6,0.3,0.3,0.8,0.6,1.1,0.9,0.6,6.6,544382.7067398281,184738.56560333757
E01000012,0.5,0.8,0.6,0.3,0.3,1.1,0.6,1.1,1.1,0.6,6.999999999999998,543917.459955573,184714.37315201238
E01000013,0.6,0.8,0.6,0.3,0.3,1.3,0.6,1.3,1.1,0.8,7.699999999999998,548969.1761090916,184881.9020407858
E01000014,0.5,0.6,0.6,0.3,0.3,0.9,0.3,1.1,1.1,0.8,6.499999999999999,548481.3371117681,184907.906149875
E01000015,0.5,0.8,0.6,0.3,0.3,0.9,0.5,0.8,1.1,0.6,6.399999999999999,549590.2081472263,185038.74427782232
E01000016,0.5,0.6,0.6,0.3,0.2,0.9,0.5,1.1,1.1,0.6,6.4,549306.3713158977,185579.7359826731
E01000017,0.5,0.6,0.6,0.3,0.3,0.8,0.6,0.9,1.1,0.6,6.299999999999999,548904.5773051885,185566.51694946658
E01000018,0.5,0.6,0.6,0.3,0.3,0.9,0.3,0.8,1.1,0.6,6.0,549322.0014640697,185265.15617023798
E01000019,0.5,0.8,0.6,0.3,0.2,0.9,0.6,1.1,1.1,0.8,6.8999999999999995,547097.6482065751,186501.31734057848
E01000020,0.5,0.8,0.6,0.3,0.3,0.9,0.6,1.3,1.1,0.6,7.0,547393.6374326425,186291.85755338645
E01000021,0.6,0.8,0.6,0.3,0.3,0.8,0.6,1.1,1.3,0.8,7.199999999999999,546797.8496768584,186073.46973567046
E01000022,0.5,0.6,0.6,0.3,0.3,0.9,0.5,0.8,1.1,0.6,6.199999999999999,547148.852403766,186036.49040243332
E01000024,0.6,0.6,0.6,0.3,0.2,0.9,0.5,0.8,1.1,0.6,6.199999999999999,547135.3823732389,185720.69412172676
E01000025,0.5,0.5,0.6,0.3,0.3,0.8,0.5,0.8,1.1,0.8,6.2,546947.5517669506,185512.81657754237
E01000027,0.6,0.6,0.6,0.3,0.3,1.1,0.5,0.9,1.1,0.6,6.6,548472.7109467562,190176.27801659744
E01000028,0.6,0.6,0.6,0.3,0.3,1.1,0.5,0.9,1.3,0.8,6.999999999999999,547630.7416422449,189508.84506483682
E01000029,0.5,0.6,0.6,0.3,0.3,0.9,0.5,1.3,1.1,0.6,6.699999999999999,547977.5127412567,188984.22596374791
E01000030,0.5,0.8,0.6,0.3,0.3,0.9,0.6,1.3,1.1,0.8,7.2,548130.9988404175,189333.97312594377
E01000031,0.5,0.8,0.6,0.3,0.3,0.9,0.6,1.3,1.3,0.6,7.199999999999999,548652.2851620584,189005.26302625248
E01000032,0.6,0.8,0.6,0.3,0.3,0.9,0.6,1.3,1.1,0.8,7.3,547972.476685999,188354.9814043074
E01000033,0.5,0.6,0.6,0.3,0.2,0.8,0.5,0.8,0.8,0.6,5.699999999999999,550042.3870003975,186216.69670883502
E01000034,0.6,0.8,0.6,0.3,0.3,0.9,0.5,0.9,1.3,0.6,6.799999999999999,550633.4222515892,186483.48481082573
E01000035,0.5,0.8,0.6,0.3,0.3,0.9,0.6,1.1,1.1,0.6,6.799999999999999,550059.244403149,185634.84119198396
E01000036,0.6,0.8,0.6,0.3,0.3,1.1,0.5,1.1,1.1,0.6,6.999999999999998,550432.3448315335,185260.95318218524
E01000037,0.6,0.6,0.6,0.3,0.3,0.9,0.3,1.1,1.1,0.6,6.399999999999999,551171.3762176456,187100.383178284
E01000038,0.5,0.6,0.6,0.3,0.2,0.9,0.5,1.1,1.3,0.6,6.6,550721.2285263542,187157.76521812953
E01000039,0.6,0.6,0.6,0.3,0.3,0.9,0.3,0.9,1.1,0.8,6.3999999999999995,551150.506637745,186011.90714174917
E01000040,0.6,0.8,0.6,0.3,0.2,0.9,0.6,1.3,1.3,0.6,7.199999999999999,545565.8934887234,184053.9602491951
E01000041,0.6,0.6,0.6,0.3,0.3,0.8,0.3,0.6,1.1,0.6,5.799999999999999,546853.9118589439,184260.2835607774
E01000042,0.5,0.8,0.6,0.3,0.3,0.9,0.5,0.8,1.3,0.6,6.599999999999999,546209.9843524133,184144.99042235938
E01000043,0.6,0.8,0.6,0.3,0.3,0.9,0.5,1.1,1.1,0.6,6.799999999999999,545753.155676532,183754.505853419
E01000044,0.5,0.8,0.6,0.3,0.3,1.1,0.6,1.1,1.1,0.6,6.999999999999998,545070.7374604491,183973.18448864302
E01000045,0.6,0.8,0.6,0.3,0.3,0.9,0.6,1.1,1.3,0.6,7.099999999999999,546484.0645271505,183860.97814523496
