LSOA11CD,ARSON AND CRIMINAL DAMAGE,BURGLARY,DRUG OFFENCES,MISCELLANEOUS CRIMES AGAINST SOCIETY,POSSESSION OF WEAPONS,PUBLIC ORDER OFFENCES,ROBBERY,THEFT,VEHICLE OFFENCES,VIOLENCE AGAINST THE PERSON,total_crime,population_mean_2019_2022
E01000006,0.27,0.33,0.33,0.16,0.16,0.49,0.16,0.44,0.49,0.33,3.16,1836
E01000007,0.18,0.29,0.21,0.11,0.11,0.39,0.21,0.47,0.39,0.29,2.65,2792
E01000008,0.34,0.46,0.34,0.17,0.17,0.63,0.34,0.63,0.51,0.34,3.95,1748
E01000009,0.27,0.44,0.33,0.16,0.16,0.49,0.33,0.71,0.6,0.44,3.93,1832
E01000011,0.36,0.47,0.36,0.18,0.18,0.47,0.36,0.65,0.53,0.36,3.91,1688
E01000012,0.21,0.34,0.26,0.13,0.13,0.47,0.26,0.47,0.47,0.26,3.01,2326
E01000013,0.32,0.43,0.32,0.16,0.16,0.7,0.32,0.7,0.59,0.43,4.13,1864
E01000014,0.28,0.34,0.34,0.17,0.17,0.51,0.17,0.62,0.62,0.45,3.67,1772
E01000015,0.21,0.33,0.25,0.12,0.12,0.37,0.21,0.33,0.45,0.25,2.65,2418
E01000016,0.28,0.33,0.33,0.17,0.11,0.5,0.28,0.61,0.61,0.33,3.54,1810
E01000017,0.29,0.35,0.35,0.17,0.17,0.47,0.35,0.52,0.64,0.35,3.66,1720
E01000018,0.28,0.34,0.34,0.17,0.17,0.51,0.17,0.45,0.62,0.34,3.39,1768
E01000019,0.3,0.49,0.36,0.18,0.12,0.55,0.36,0.67,0.67,0.49,4.19,1647
E01000020,0.23,0.37,0.28,0.14,0.14,0.42,0.28,0.6,0.51,0.28,3.23,2165
E01000021,0.36,0.49,0.36,0.18,0.18,0.49,0.36,0.67,0.79,0.49,4.37,1646
E01000022,0.34,0.41,0.41,0.2,0.2,0.61,0.34,0.55,0.75,0.41,4.23,1464
