LSOA11CD,road,sidewalk,building,wall,fence,pole,traffic_light,traffic_sign,vegetation,terrain,sky,person,rider,car,truck,bus,train,motorcycle,bicycle,residential_sim,commercial_sim,industrial_sim,civil_and_governmental_sim,health_care_sim,education_sim,hotel_sim,sports_and_recreation_sim,outdoors_and_natural_sim,transportation_sim,predicted_function,ARSON AND CRIMINAL DAMAGE,BURGLARY,DRUG OFFENCES,MISCELLANEOUS CRIMES AGAINST SOCIETY,POSSESSION OF WEAPONS,PUBLIC ORDER OFFENCES,ROBBERY,THEFT,VEHICLE OFFENCES,VIOLENCE AGAINST THE PERSON,total_crime,population_mean_2019_2022
E01000006,0.288581887880961,0.0568385918935139,0.1557427247365315,0.0199233293533324,0.0286867221196492,0.0028339227040608,0.0001305739084879,0.0012625853220621,0.0104440450668334,0.0008511940638224,0.3750813404719034,0.0009346803029377,0.0,0.0545169512430826,0.0027220646540323,0.0001989205678303,0.0011700789133707,0.0,8.03867975870677e-05,0.1261021115215795,0.1176997039313815,0.1081627534156094,0.0819462935087054,0.1031106419371813,0.1009429191552654,0.0866657446225244,0.0953015581188365,0.0791425873837979,0.1009256864051179,residential,0.27,0.33,0.33,0.16,0.16,0.49,0.16,0.44,0.49,0.33,3.16,1836
E01000007,0.3029972265282786,0.0538323131811869,0.1818119173409166,0.0253750935488583,0.0436290355237163,0.0015167754718076,0.0001578897208186,0.0005887525267128,0.0464966629647993,0.0039800654839539,0.2996439981180591,0.0033095737664378,5.828234942437728e-05,0.0241470778803386,0.0017484272290144,0.0006065486489496,0.0094018689096671,0.0006118818088626,8.6608998196433e-05,0.1086169721425452,0.112980223659781,0.1029190390204816,0.090792510089072,0.1031773994997324,0.1025319202410399,0.0893089656936092,0.0978686094800562,0.0859455866682227,0.105858773505459,commercial,0.18,0.29,0.21,0.11,0.11,0.39,0.21,0.47,0.39,0.29,2.65,2792
E01000008,0.2046634813970407,0.0283203066652523,0.1001634660055388,0.0435456335164992,0.0722270965599711,0.0023027323731066,3.890427697958855e-05,0.0015755059370131,0.1558861663274682,0.0403021434360527,0.3172693682443486,0.002325481972872,4.141671316964286e-05,0.0239424660509849,0.0015534097446666,0.0007987249465215,0.004781441679816,6.193207771212487e-06,0.0002560609449263,0.107776142888947,0.1060684226942103,0.1123826372872336,0.0829332357466137,0.0999552746020354,0.104384393124594,0.0771526403744276,0.1057315602085555,0.0976558621770059,0.1059598308963762,industrial,0.34,0.46,0.34,0.17,0.17,0.63,0.34,0.63,0.51,0.34,3.95,1748
E01000009,0.2819977500221945,0.0341518286502722,0.1574030327074455,0.0104530103278882,0.0327421014959161,0.0024826512192234,0.0003700718735203,0.0011216365929805,0.0110896255030776,0.0018020167495264,0.3637513825387665,0.0029214338822798,7.398200757575758e-07,0.085616533684008,0.005473974979285,0.001171690044981,0.0071265943122632,0.0,0.0003239255962949,0.1166006119163492,0.1198233223713795,0.104926902009477,0.0859367007043286,0.1044187347210837,0.1012799663025111,0.0907977911718124,0.0933160488506034,0.0784024881203439,0.1044974338321102,commercial,0.27,0.44,0.33,0.16,0.16,0.49,0.33,0.71,0.6,0.44,3.93,1832
E01000011,0.2912338081447557,0.0307600525603896,0.1897752696070177,0.0093152276400861,0.0112822960162984,0.0006605564862831,7.927554777298706e-05,0.0004368047604615,0.0089074058094243,0.0005771154644845,0.3493934280570895,0.0008498443954292,1.3592599452224138e-05,0.1042639195233925,0.0007805659853178,2.6308257004310347e-06,0.0016290949678968,4.998568830817241e-06,3.411303991558621e-05,0.1310104054528314,0.1202860842159667,0.1039962302708803,0.0801583591193125,0.1003447609026651,0.1024405711985844,0.089426417879354,0.0905191589878263,0.0810083431198075,0.1008096688527709,residential,0.36,0.47,0.36,0.18,0.18,0.47,0.36,0.65,0.53,0.36,3.91,1688
E01000012,0.3345634013353861,0.0316259316094964,0.1884621643694995,0.0141735549453102,0.035387716024967,0.0011642521348316,4.970051428183097e-05,0.0006482592727399,0.047057223119423,0.0005228088529413,0.27709633871753,0.0010080294917554,0.0,0.0632685137583547,0.0030409647756498,0.0003471792833612,0.0012836586886085,0.0,0.0003003031058625,0.118836681784538,0.1163286952808845,0.1035742572880536,0.0837289352192974,0.1033136332444646,0.1024227991436296,0.0880766897405702,0.0962298064906657,0.0848934459505413,0.1025950558573541,residential,0.21,0.34,0.26,0.13,0.13,0.47,0.26,0.47,0.47,0.26,3.01,2326
E01000021,0.2997808910551525,0.0310594467889694,0.1303322201683407,0.0026412237258184,0.0225731077648344,0.0037790934244791,0.0001559484572637,0.0013698396228608,0.0422109876360211,0.0015863691057477,0.3790872664678664,0.0016642979213169,2.543131510416667e-06,0.0783073788597469,0.0035266876220702,0.0004807426815941,0.0010492234002976,6.439572288875893e-05,0.0003283364432198,0.1181457659351306,0.119522839157197,0.1042778152041115,0.0843368808768142,0.1041202791910378,0.1042329844994672,0.086082090481896,0.0916200471937153,0.089064164093602,0.0985971333670274,commercial,0.36,0.49,0.36,0.18,0.18,0.49,0.36,0.67,0.79,0.49,4.37,1646
E01000024,0.3219496898162059,0.0496196257762419,0.1155725136781349,0.0030589959560296,0.0117315634703024,0.0026292067307692,0.0001171796749799,0.0001711723132011,0.0290150764660957,0.0020084870167267,0.4080147376427284,0.0012651101136818,0.0,0.052086952405098,0.0,4.685230744190257e-05,0.0027091197478465,0.0,3.7168845152243593e-06,0.1218770470390818,0.118194174478986,0.1062669029464237,0.0835681144820457,0.1037718420269637,0.1016796410964543,0.0836034593470445,0.0908163572395085,0.0883306599106181,0.1018918014328729,residential,0.4,0.4,0.4,0.2,0.13,0.59,0.33,0.53,0.73,0.4,4.1,1514
E01000025,0.3283623854319254,0.0416754881540933,0.1071420510609944,0.0013264020284016,0.0083680152893066,0.0022703806559244,0.0004647572835286,0.0023630460103352,0.036835749944051,0.0086100896199543,0.3952274322509765,0.0013465881347655,2.304712931314792e-05,0.0548931757609049,0.0069638093312581,0.0010886987050374,0.0028825600941975,0.0,0.0001563231150309,0.1209116495546055,0.1168148576137872,0.1067367286701766,0.0841137582651977,0.1028633717599854,0.1040782286152519,0.0831421467304232,0.0898183324024963,0.0891940867576057,0.1023268396304697,residential,0.26,0.26,0.31,0.16,0.16,0.42,0.26,0.42,0.58,0.42,3.25,1908
E01000027,0.1552442038551631,0.0914960316990852,0.0324381085889009,0.0191342237241983,0.0479202969961106,0.0089210873816647,3.990901899970851e-05,0.0023732186830027,0.2758971797996247,0.0199933036984564,0.2871401419607997,0.014642070020805,6.362633744167283e-05,0.0186752241544961,0.0046407660500507,0.0130348055262476,0.0077663000893929,0.0,0.000579502415559,0.1062660098465199,0.1087095258487689,0.1090104680892459,0.0833881408366886,0.1012115379644918,0.1015428807703277,0.0833522255469041,0.100248873012475,0.0988609268365265,0.1074094112480506,industrial,0.29,0.29,0.29,0.15,0.15,0.53,0.24,0.44,0.53,0.29,3.2,2063
E01000028,0.2538048181778345,0.0650557493552183,0.1595098055326021,0.0084682366786858,0.0135626181578024,0.0033044081467848,0.0,0.0019399202786958,0.0524599124223757,0.0066861861791365,0.1630387917543068,0.0069490090394631,0.0009886912810496,0.2627045068985376,8.089114458132691e-05,0.0002081455328525,0.0,0.0010208716759314,0.0002174377441406,0.1101317184457439,0.1090974837221142,0.098812831208204,0.0802219541362403,0.1116494503164382,0.1187343885395645,0.084980096891767,0.0974775599550681,0.0818743433415687,0.1070201734432901,education,0.32,0.32,0.32,0.16,0.16,0.59,0.27,0.49,0.7,0.43,3.79,1849
E01000029,0.3099797970403439,0.0073258334366732,0.0463361790571262,0.0166359553261408,0.0376506987072172,0.0024422943276702,0.0001121399894593,0.0016719273158481,0.2100566884197255,0.0840190907634755,0.1977759467230902,0.0058357198402364,0.0001566246073081,0.0742318289620535,0.0002479351386822,0.0022522457062251,0.0024086281105324,4.626077318948095e-05,0.0008142057550016,0.1073079797823503,0.1162146156210307,0.100408757528051,0.0772898877521717,0.1009624995287058,0.1027065829772982,0.0741273582469207,0.1016339103808216,0.0998734498486647,0.1194749583339846,transportation,0.27,0.32,0.32,0.16,0.16,0.48,0.27,0.69,0.59,0.32,3.57,1878
E01000030,0.3006288285791817,0.0144304538059111,0.0809206099988941,0.0298188816192313,0.0658363153624983,0.0054905601057775,6.783251000592667e-05,0.0007073791930193,0.0908273867845105,0.0347138013576939,0.2576903478278267,0.0052133680680069,0.0003561740451388,0.1000252804902957,2.577039930555555e-06,0.0,0.0101628355905489,0.000519544813368,0.0025878228081597,0.1083296572875366,0.1184275649398262,0.1076036350867894,0.0749534629675127,0.1022501034150405,0.0994085050193642,0.0766194065189296,0.0997408168878653,0.0860375465044991,0.1266293013726355,transportation,0.19,0.31,0.23,0.12,0.12,0.35,0.23,0.51,0.43,0.31,2.8,2574
E01000031,0.2305542152460035,0.0506170321969829,0.0560433555318529,0.0114372562199929,0.0406689421787608,0.0047542465778753,0.0002075018528024,0.0014697242314428,0.2624676256491171,0.0424744838659692,0.234701279434234,0.0092412293258826,5.981511200402813e-05,0.0485913750412019,0.0004620608135767,9.385221314948487e-05,0.0052726925523874,0.0002476214061608,0.000635690550602,0.1084191382146068,0.1123277275827393,0.1041456812705456,0.0814418436132975,0.1006983275291114,0.1021223634973143,0.0812310713251535,0.0977266616122452,0.0983198317812401,0.1135673535737454,transportation,0.27,0.44,0.33,0.16,0.16,0.49,0.33,0.71,0.71,0.33,3.94,1828
E01000032,0.1258030515534021,0.0751321348123591,0.3573549237111649,0.016268094691657,0.0220432657571507,0.0106534064346125,9.282162437842e-05,0.0004729482765948,0.0365564197373453,0.0003374559054783,0.2286444812784223,0.0080047600833014,0.0002295040163202,0.0877014747758085,0.0024954736707892,0.0013724340175953,0.0264266224658931,9.826171958008e-05,0.0003124654681456,0.0998290339061527,0.1110766792648926,0.0966104130865203,0.096467613728118,0.1082268783174623,0.1075206645748601,0.0972697050838208,0.1007829207114023,0.0740344352523484,0.1081816560744217,commercial,0.3,0.4,0.3,0.15,0.15,0.44,0.3,0.64,0.54,0.4,3.61,2024
E01000033,0.2741098897023489,0.0418020175308417,0.1902372450736398,0.0043428768222859,0.0207644598157071,0.0046223269083486,5.73889114579458e-05,0.0008020456202024,0.0445733995329961,0.0002206018948541,0.3371407199131916,0.0185483764809022,0.0,0.0494523951473199,0.0132958989717863,0.0,0.0,0.0,3.035767411642857e-05,0.1235909862326806,0.108938958773839,0.102791215083738,0.0847662923811744,0.1083101182855585,0.1028093621847492,0.0893591474512879,0.0937228230119735,0.079614862712862,0.1060962338821359,residential,0.32,0.38,0.38,0.19,0.13,0.51,0.32,0.51,0.51,0.38,3.65,1560
E01000035,0.2050344559345555,0.0610121357731978,0.1806876630643736,0.0150193839605198,0.0207506524239393,0.0084387154993195,0.0009988502279097,0.0031697547805764,0.0851025229571151,0.0050589996798652,0.3295932269392538,0.0166019779210313,3.891141300723333e-05,0.0483059216107989,0.0008883309422528,0.0004238142473238,0.0185181309601213,0.0003360057496415,2.0545915196118556e-05,0.1064015835278456,0.110514025892197,0.105208355818567,0.0879781266468556,0.107258182965781,0.1061148919327946,0.0889650159138204,0.0979501196338349,0.084292954713432,0.1053167429548711,residential,0.27,0.44,0.33,0.16,0.16,0.49,0.33,0.6,0.6,0.33,3.73,1824
E01000036,0.2409970847559502,0.0553972368072487,0.1269681453403269,0.0123918872847084,0.0609900990553792,0.0100758903166398,0.0055486256251929,0.0009526025831866,0.0767523399328475,0.0012713336985032,0.3500086558191903,0.0380028045486039,0.0,0.0199968198651273,0.0001946930371519,0.0,0.0003325683199455,0.0,0.0001192130099967,0.0959126120152989,0.1061216486562745,0.1010981791674315,0.095373813999114,0.1062016336834503,0.1077481740692219,0.0870914339186196,0.1049858363296377,0.0869380237771569,0.1085286443837938,education,0.42,0.56,0.42,0.21,0.21,0.77,0.35,0.77,0.77,0.42,4.91,1427
E01000040,0.3103294372558594,0.040977560063844,0.1159996114751343,0.0032366680842573,0.0314954942272555,0.0017938921528477,5.447223622311076e-05,0.000454851376113,0.0468939914498277,0.0036234701833417,0.4014781418667044,0.001178003126575,0.0,0.0419062132476477,0.0001673134424353,0.000199963969569,0.0001625143071656,0.0,4.840153519824893e-05,0.1268656655225708,0.1190467488083325,0.1068723269054865,0.0801384846335069,0.1038968618538146,0.1018302544559343,0.0839080928319185,0.0932442038970905,0.0854853661134227,0.0987119949779219,residential,0.32,0.43,0.32,0.16,0.11,0.48,0.32,0.7,0.7,0.32,3.88,1858
E01000041,0.2944449058275151,0.0555992285476089,0.1222332877565863,0.0081192899201346,0.0196792704236364,0.0017208976373414,0.0004533664867098,0.0010879881453739,0.0469802770649134,0.0045485470091928,0.3950363096448877,0.001906006210947,1.940976890279315e-05,0.0467574907765648,0.0009304310659422,0.0002165277979168,4.525844484333827e-05,6.723458536173947e-05,0.0001542728856198,0.1275200450487533,0.1169865120359382,0.1076107165785485,0.0818069319273923,0.1013938956735519,0.1012338802217989,0.0844161024665379,0.0928121455938986,0.0845080114217745,0.101711759031805,residential,0.33,0.33,0.33,0.16,0.16,0.44,0.16,0.33,0.6,0.33,3.16,1833
E01000042,0.2932754250901255,0.0252317172377856,0.0751191703834343,0.0076191271122414,0.0288104156949626,0.0026840096089376,0.0001040596274,0.0004533226810284,0.1443732342316736,0.0487698037826006,0.3394366212152129,0.0007572268965232,2.429259950248756e-06,0.0279672727062927,0.0017676851642665,0.00179943635096,0.0016974643688296,0.0001110057925703,2.057279520366853e-05,0.1191844013449106,0.1087686103897642,0.1027433446811262,0.0854256457117034,0.103228508046979,0.1029720555404151,0.0847847286599996,0.0952815588179972,0.0982756622225638,0.0993354845845399,residential,0.26,0.42,0.31,0.16,0.16,0.47,0.26,0.42,0.68,0.31,3.46,1907
E01000043,0.3210568427393367,0.0213737351117369,0.0659958395891054,0.0051069562310572,0.0259909492632399,0.0029870643616972,0.0009433803283196,0.0009369378961854,0.1208813700882326,0.0168385130720949,0.3635267004899451,0.0041837877891291,2.0981946131423683e-05,0.0458506854805532,0.0027483963469766,0.0005123691142408,0.001009417839277,1.2949893349094736e-05,2.3122419390757897e-05,0.1116618276649763,0.113948016707012,0.1087266494554677,0.085217849952951,0.1017963723087594,0.0991737723987815,0.0849581533420916,0.0943125361320663,0.0897699055152137,0.1104349165226797,residential,0.39,0.51,0.39,0.19,0.19,0.58,0.32,0.71,0.71,0.39,4.37,1555
E01000044,0.2895893022125842,0.0191630943148743,0.190409267649931,0.0400823705336626,0.04115078495998,0.0025703579771752,8.070702646292401e-05,0.00037743063534,0.040840747309666,0.0011545069077435,0.3187038197236902,0.0026162091423483,3.73989928002451e-07,0.0402136409983915,0.0004772859461167,0.0010034897748161,0.0114948048311121,0.0,7.180606617646716e-05,0.1133740043686219,0.1142465510803718,0.1102638066747016,0.0864391516092038,0.1007193709351172,0.1011860292757968,0.0851796752925219,0.0993683531283824,0.0811652494840903,0.1080578081511915,residential,0.25,0.4,0.3,0.15,0.15,0.56,0.3,0.56,0.56,0.3,3.54,1976
